No,GND No.,Scheme,Problem to be addressed / Recommendation,N,E,Estimated Cost
11,488 /A,Hakuruthale minor stream,Soil erosion of embankments (about 1.5km length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 1500m,7.199192,80.800261,"405,000"
12,488/B,Hilpan minor stream,"Soil erosion of land on both sides (about 500m length). Recommend 1. Construct (3mx2mx1m) two SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1000 m2.",7.18815,80.80755,"654,000"
13,488/B,Murunga watta minor stream,"Soil erosion of land on both sides (about 1.5km length). Recommend 1. Construct (3mx2mx1m) three SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1500 m2.",7.195121,80.812566,"1,071,000"
14,489 C,Diyathala Kanda minor stream,"Soil erosion of land on both sides (about 500m length). Recommend 1. Construct (3mx2mx1m) one SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/ Areca nut trees /Kithul/ Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna /Mango/ local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2.",7.165706,80.808852,"357,000"
15,489 C,minor stream,"Soil erosion of land on both sides (about 500m length). Recommend 1. Construct (3mx2mx1m) one SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/ Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna /Mango/ local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2.",7.166363,80.80882,"357,000"
16,489 C,Werella minor stream,"Soil erosion of land on both sides (about 500m length). Recommend 1. Construct (3mx2mx1m) one SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2.",_,_,"357,000"
17,489 C,Kotiya Gala minor stream,"Soil erosion of land on both sides (about 500m length). Recommend 1. Construct (3mx2mx1m) one SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/ Kumbuk/ Mee/ Godapara/ Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2.",7.164435,80.814653,"357,000"
18,489 C,Badiyawa Mala minor stream,"Soil erosion of land on both sides (about 300m length). 1. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/ Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2.",7.165286,80.814837,"250,000"
19,489 D,Morakatiya minor stream,Soil erosion of embankments (about 500m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 500m,7.183902,80.79606,"135,000"
20,489 D,Galekade minor stream,Soil erosion of embankments (about 700m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length700m,7.184002,80.801768,"189,000"
21,489 D,Thanne Hewala minor stream,Soil erosion of embankments (about 500m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length500m,7.187163,80.802565,"135,000"
22,489 D,From Keena mankada minor stream,Soil erosion of embankments (about 1km length). Recommend 1. to Construct (2mx2mx1m) three SABO- boulder dams across the stream locations where canal is steep. 2.Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 1km,7.186394,80.801024,"450,000"
23,489/E,Gama minor stream,"Soil erosion of land on both sides (about 1km length). Recommend 1. Construct (3mx2mx1m) Two SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut /Kithul/Kumbuk/Mee/ Godapara/ Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1000 m2.",7.175304,80.818218,"714,000"
24,489,Gama minor stream,"Soil erosion of land on both sides (over 2km length). Recommend 1. Construct (3mx2mx1m) Three SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut / Kithul/ Kumbuk/Mee/ Godapara/Kaduru/ Aththikka/Wal del/Kekuna /Mango/ local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1500 m2.",7.164725,80.819054,"1,071,000"
25,489,Rambukgete minor stream,Soil erosion of embankments (over 1.5m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 1km,7.173954,80.814555,"270,000"
26,489,Galbokka minor stream 1,Soil erosion of embankments (about 300m length). 1. Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 1km. 2. To provide three numbers of 500mmx500mmx 300mm high concrete junction boxes to facilitate joining of indigenous open conduits made out of bamboo/Areca stems etc.,7.175092,80.811844,"99,000"
27,489,Galbokka minor stream 2,Soil erosion of embankments (about 200m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 200m.,7.174908,80.811287,"54,000"
28,489A,Dulgaha Watta minor stream,Soil erosion of embankments (over 1.5m length). 1. Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 1km. 2. To provide 500mmx500mmx 300mm high concrete junction boxes to facilitate joining of indegenoius open conduits made out of bamboo/Areca stems etc,7.181451,80.798096,"270,000"
29,489A,Thotupala minor stream (Maha minor stream),"Soil erosion of land on both sides (about 1km length). Recommend 1. Construct (3mx2mx1m) three numbers of SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut /Kithul/ Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna /Mango/local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1500 m2.",7.182193,80.79891,"1,071,000"
30,489A,Naaya minor stream,"Soil erosion of land on both sides (about 1.5km length). Recommend 1. Construct (2mx2mx1m) five numbers of SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 2000 m2.",7.183558,80.802342,"1,368,000"
31,489A,Ulpatha minor stream,"Soil erosion of land on both sides (over 1km length). Recommend 1. Construct (2mx2mx1m) three numbers of SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/ Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1000 m2.",7.183205,80.80333,"714,000"
32,489A,Kobokura minor stream,"Soil erosion of land on both sides (about 2km length). Recommend 1. Construct (2mx2mx1m) six numbers of SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1500 m2.",7.178225,80.797961,"1,161,000"
,,,Total cost,"LKR 15,960,000",,
