No,GND No.,Name of the Tank,N,E,Problem,Recommendation,Estimated Cost (Rs)
18,495 C,Hirage Pihilla Well,7.182268,80.77287,Water leaks from the tank,"1. 1/2"" thick 1:3 cement mortar plastering to prevent leakages in lining.
2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop","17,000.00"
19,495 C,Gabada Linda,7.181292,80.77478,Water leaks from the tank,"1. 1/2"" thick 1:3 cement mortar plastering to prevent leakages in lining
2. Providing PVC pipes, pipe joints, etc.. to convey water from tank exists at higher elevation.
3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop","37,200.00"
20,494 C,Thamana Watershed,7.156648,80.76806,"•No storage tank to store water
 •Difficulty to get water for the houses in high elevations                         ","1. Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5.
2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.
3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.","600,200.00"
21,494 C,Nommara 1 well,7.159929,80.7656,The boundary of the reservation is not demarcated,"1.Construction of 1.2m high RR masonry  wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick screed  concrete, plastering with 1:3 Menet mortar and back filling.
2. Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence.
3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop ","506,100.00"
22,494 C,Nommara 1 well,7.153821,80.77277,"•No reservation area
•The well is dilapidated
•On rainy days, the water flowing through the torrent fills the well ","1. Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m)
2. Construction of 1.2m high RR masonry  wall (with section 0.60x0.60, 0.45x0.60)
3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop ","250,000.00"
23,494 C,Nommara 1 drinking water well,7.159938,80.7657,The spring is not conserved,"1. Construction of 1.2m high RR masonry  wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick screed  concrete, plastering with 1:3 Menet mortar and back filling
2. Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence
3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop ","480,000.00"
24,494 C,Common Well,7.15894,80.76726,"•No reservation area
•The well not repaired","1. Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5
2. Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence.
3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop ","820,500.00"
25,494 C,Forest Reserve near Kovil,7.15791,80.7687,No reservation area,"1. Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5
2. Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence.
3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","844,000.00"
26,492A,"Diyabubula Ulpatha
(Madugahamula)",7.147163,80.78324,Reservation boundary is not separated,"1. Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence.
2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop ","270,500.00"
27,492 A,Diyabubula Watershed,7.147143,80.78421,A reservation is not allocated,"1. Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5.
2. Removing silt from canal bed
3. Construction of 1.2m high RR masonry  wall (with section 0.60x0.60, 0.45x0.60)
4. 1/2"" thick 1:3 cement mortar plastering to prevent leakages in lining.
5. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop","925,400.00"
28,492 C,Uda Oya,7.155091,80.77932,"On rainy days, the water flowing through the torrent fills the well and there is a risk of damaging the pipes","Construction of 2.1m high RR masonry  wall (with section 0.60x0.75, 0.45x0.75, 0.30x0.60) over 0.90m width x 0.15m thick screed  concrete, plastering with 1:3 Menet mortar and back filling","143,500.00"
,,,,,,Total,"11,990,000.00"
